기업 이름,복지 카테고리,복지 혜택
'(주)한국해양기상기술'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '임신/출산 선물', '자율 및 탄력 근무 제도', '야간 교통비 지원', '유류비 지원', '퇴직연금 및 퇴직금', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '반차 및 시간제 연차 사용', '휴직 (유급/무급)', '여름 휴가', '창립 기념일 휴무', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '인강 구입비 지원']"
'에스케이(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['의료비 지원 (본인,가족)', '건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '체력단련비 지원', '불임부부 지원', '무료 진료 지정 병원', '주택 지원 대출', '경조사 지원금', '통신비 지원', '콘도 및 휴양시설 지원', '직원 대출 지원', '자녀 학자금 지원', '선택적 복리후생', '자사 제품 직원 할인', '웰컴키트 지급', '임신/출산 선물', '사택/기숙사 운영 및 지원', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '주차장 및 주차비 지원', '통근버스 운행', '유류비 지원', '기숙사 및 사택 운영', '인센티브 및 성과급', '연차 수당', '야근 및 휴일 특근 수당', '장기근속자 금전포상', '생일 선물 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '위험 수당', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '리프레쉬/장기근속 휴가', '배우자 출산 휴가', '휴직 (유급/무급)', '병가 (유급/무급)', '육아 휴직', '여름 휴가', '본인 출산 휴가', '임산부 단축근무', '생일 휴가', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '어린이집 지원/운영', '안마실 및 안마 의자 운영', '아침/점심/저녁식사 지원 제공', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '사내 동호회 지원', '무료 간식 및 음료 제공', '도서구입비 지원', '자격증 취득 지원', '기타 자기계발비 지원', '어학 교육비 지원', '대학원, 유학 지원', '컨퍼런스 개최 및 지원', '멘토링 제도 운영']"
'카테노이드(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '매년 무료 건강검진 지정병원', '경조사 지원금', '선택적 복리후생', '제휴사 직원할인', '재택 근무제도', '주 4일 / 주 4.5일 근무', '야간 교통비 지원', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '여름 휴가', '보건 휴가', '도서구입비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
,,
'(주)레티널'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '경조사 지원금', '주택 지원 대출', '통신비 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '웰컴키트 지급', '점심 식사 지원', '월세 지원', '해외출장비 지원', '통근버스 운행', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '절반 근무 및 문화 데이', '우수사원 금전포상', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '생일휴가', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '오락기', '전자다트', '탁구대', '집중업무룸', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원']"
'(주)미스터멘션'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '콘도 및 휴양시설 지원', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '자율출퇴근', '생일 선물 지원', '반차 및 시간제 연차 사용', '여름 휴가', '구내 식당 및 카페테리아 운영', '애완 동물 친화', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '도서구입비 지원']"
기업 추천 복지,"['(주)아키스케치의 특별한 복지', '연차/휴가', '근무환경']","['국내 및 해외 워크숍 지원', '생일 반차 지원', '영어이름 사용', '최고사양 업무 장비(맥북) 제공', '생일 반차', '최고 성능 PC/노트북 지원']"
'(주)에스엔에이'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['의료비 지원 (본인,가족)', '건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '사택/기숙사 운영 및 지원', '자녀 학자금 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '웰컴키트 지급', '생일선물', '야간 교통비 지원', '주 4일 / 주 4.5일 근무', '주차장 및 주차비 지원', '유류비 지원', '기숙사 및 사택 운영', '차량유지비', '금요일 1시간 단축 근무', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '생일 선물 지원', 'Refresh Day (4.75제)', '사내 동호회 지원', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '체력단련비']"
'(주)파이브센스'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['경조사 지원금', '명절 선물 및 귀향비 지원', '재택 근무제도', '절반 근무 및 문화 데이', '장기근속자 금전포상', '연차 수당', '청년 내일 채움 공제 지원', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공']"
'삼성에스디에스(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '사내 병원', '체력단련비 지원', '무료 진료 지정 병원', '불임부부 지원', '경조사 지원금', '콘도 및 휴양시설 지원', '선택적 복리후생', '자녀 학자금 지원', '임신/출산 선물', '명절 선물 및 귀향비 지원', '주택 지원 대출', '직원 대출 지원', '통신비 지원', '웰컴키트 지급', '자사 제품 직원 할인', '사택/기숙사 운영 및 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '통근버스 운행', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '기숙사 및 사택 운영', '절반 근무 및 문화 데이', '주 4일 / 주 4.5일 근무', '인센티브 및 성과급', '연차 수당', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '우수사원 금전포상', '퇴직연금 및 퇴직금', '생일 선물 지원', '우리 사주 및 스톡옵션', '위험 수당', '청년 내일 채움 공제 지원', '복지포인트', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '본인 출산 휴가', '휴직 (유급/무급)', '육아 휴직', '임산부 단축근무', '병가 (유급/무급)', '여름 휴가', '창립 기념일 휴무', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '무료 간식 및 음료 제공', '어린이집 지원/운영', '안마실 및 안마 의자 운영', '수면실 및 휴게실 운영', '스탠딩 책상 지원', '애완 동물 친화', '업무용 핸드폰 제공', '항공권 지원(가족 포함)', '도서구입비 지원', '자격증 취득 지원', '어학 교육비 지원', '기타 자기계발비 지원', '대학원, 유학 지원', '멘토링 제도 운영', '컨퍼런스 개최 및 지원', '본인 학자금 지원', '사내 교육 지원']"
,,
'(주)바잇미'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '반려동물 무료 건강검진', '자사 제품 직원 할인', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '재택 근무제도', '자율 및 탄력 근무 제도', '생일 선물 지원', '복지포인트', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '어린이집 지원/운영', '사내 동호회 지원', '애완 동물 친화', '아침/점심/저녁식사 지원 제공', '어학 교육비 지원']"
'(주)스마일게이트알피지'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '경조사 지원금', '웰컴키트 지급', '직원 대출 지원', '사택/기숙사 운영 및 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '통근버스 운행', '주차장 및 주차비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '야근 및 휴일 특근 수당', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '여름 휴가', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '어린이집 지원/운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '애완 동물 친화', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '도서구입비 지원', '어학 교육비 지원', '컨퍼런스 개최 및 지원', '멘토링 제도 운영', '직무교육비', '자체 온라인 연수원 운영']"
'(주)온다'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '경조사 지원금', '야간 교통비 지원', '재택 근무제도', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '생일 선물 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '청년 내일 채움 공제 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '여름 휴가', '창립 기념일 휴무', '사내 동호회 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '컨퍼런스 개최 및 지원']"
'(주)지오스토리'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '야간 교통비 지원', '주 4일 / 주 4.5일 근무', '택시비지원11시이후', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '연차 수당', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '휴직 (유급/무급)', '여름 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '사내 동호회 지원', '자격증 취득 지원']"
